id,type,projects,tasks,requirements,offers,weeks,persons,model_size,mappings,vars,constraints,is_optimal,solved_ratio,project_ratio,total_time_avg,build_time_avg,pm_time_avg,build_gips_time_avg,build_solver_time_avg,solve_time_avg,apply_time_avg,pm_time_max,build_time_max,build_gips_time_max,build_solver_time_max,solve_time_max,apply_time_max,pm_time_min,build_time_min,build_gips_time_min,build_solver_time_min,solve_time_min,apply_time_min,pm_memory_avg,build_memory_avg,build_gips_memory_avg,build_solver_memory_avg,solve_memory_avg,apply_memory_avg,pm_memory_max,build_memory_max,build_gips_memory_max,build_solver_memory_max,solve_memory_max,apply_memory_max,pm_memory_min,build_memory_min,build_gips_memory_min,build_solver_memory_min,solve_memory_min,apply_memory_min
BATCH-A-batch-1,BATCH-A,1,6,30,366,76,20,540,285,3242,4686,true,1.0,1.0,0.9295666199999999,0.510371685,0.068321101,0.405100907,0.036481643,0.218202915,0.132670919,0.068321101,0.510371685,0.405100907,0.036481643,0.218202915,0.132670919,0.068321101,0.510371685,0.405100907,0.036481643,0.218202915,0.132670919,212,176,163,176,213,226,212,176,163,176,213,226,212,176,163,176,213,226
BATCH-B-batch-1,BATCH-B,1,6,30,366,76,20,540,285,3242,5254,true,1.0,1.0,0.932482362,0.525542427,0.074929647,0.412767935,0.037465483,0.18583501,0.146175278,0.074929647,0.525542427,0.412767935,0.037465483,0.18583501,0.146175278,0.074929647,0.525542427,0.412767935,0.037465483,0.18583501,0.146175278,212,185,171,185,222,236,212,185,171,185,222,236,212,185,171,185,222,236
BATCH-C-batch-1,BATCH-C,1,6,30,366,76,20,540,378,4079,6933,true,1.0,1.0,0.964447743,0.550370037,0.069489757,0.43483148,0.045660448,0.189337409,0.15525054,0.069489757,0.550370037,0.43483148,0.045660448,0.189337409,0.15525054,0.069489757,0.550370037,0.43483148,0.045660448,0.189337409,0.15525054,225,162,145,162,199,215,225,162,145,162,199,215,225,162,145,162,199,215
BATCH-D-batch-1,BATCH-D,1,6,30,366,76,20,540,5011,45776,81438,true,1.0,1.0,2.408013892,1.473279601,0.11239518,0.974790215,0.385669944,0.445649486,0.376689625,0.11239518,1.473279601,0.974790215,0.385669944,0.445649486,0.376689625,0.11239518,1.473279601,0.974790215,0.385669944,0.445649486,0.376689625,237,193,583,193,169,251,237,193,583,193,169,251,237,193,583,193,169,251
BATCH-E-batch-1,BATCH-E,1,6,30,366,76,20,540,16861,152426,271299,true,1.0,1.0,4.98763735,2.705778346,0.197118139,1.322451659,1.185774014,1.094617874,0.990122991,0.197118139,2.705778346,1.322451659,1.185774014,1.094617874,0.990122991,0.197118139,2.705778346,1.322451659,1.185774014,1.094617874,0.990122991,262,541,384,541,590,842,262,541,384,541,590,842,262,541,384,541,590,842
BATCH-A-inc-1,BATCH-A,1,10,150,13618,376,74,14435,9578,91835,126996,true,1.0,1.0,20.482539228,7.343753373,0.568119689,6.104758356,0.670434305,9.840172641,2.730493525,0.568119689,7.343753373,6.104758356,0.670434305,9.840172641,2.730493525,0.568119689,7.343753373,6.104758356,0.670434305,9.840172641,2.730493525,224,776,465,776,818,523,224,776,465,776,818,523,224,776,465,776,818,523
INC-F-inc-1,INC-F,1,10,150,13618,376,74,14435,9578,91835,126996,true,1.0,1.0,38.600642261000004,7.94583088,0.538334934,6.738421402,0.668660251,8.920695748,21.195780699,0.538334934,7.94583088,6.738421402,0.668660251,8.920695748,21.195780699,0.538334934,7.94583088,6.738421402,0.668660251,8.920695748,21.195780699,195,847,538,847,890,467,195,847,538,847,890,467,195,847,538,847,890,467
BATCH-A-batch-2,BATCH-A,2,12,60,734,76,39,1007,644,7150,10271,true,1.0,1.0,1.967634642,1.236201532,0.101477641,1.064656546,0.069444626,0.257401042,0.372554427,0.101477641,1.236201532,1.064656546,0.069444626,0.257401042,0.372554427,0.101477641,1.236201532,1.064656546,0.069444626,0.257401042,0.372554427,222,435,409,435,472,516,222,435,409,435,472,516,222,435,409,435,472,516
BATCH-B-batch-2,BATCH-B,2,12,60,734,76,39,1007,644,7150,11555,true,1.0,1.0,1.757425836,1.050573979,0.104071022,0.877593658,0.068512897,0.248572987,0.354207848,0.104071022,1.050573979,0.877593658,0.068512897,0.248572987,0.354207848,0.104071022,1.050573979,0.877593658,0.068512897,0.248572987,0.354207848,236,294,263,294,330,380,236,294,263,294,330,380,236,294,263,294,330,380
BATCH-C-batch-2,BATCH-C,2,12,60,734,76,39,1007,947,9877,16742,true,1.0,1.0,2.1646487490000004,1.408141561,0.111829442,1.205458638,0.090490399,0.274513893,0.370163853,0.111829442,1.408141561,1.205458638,0.090490399,0.274513893,0.370163853,0.111829442,1.408141561,1.205458638,0.090490399,0.274513893,0.370163853,226,379,339,379,418,476,226,379,339,379,418,476,226,379,339,379,418,476
BATCH-D-batch-2,BATCH-D,2,12,60,734,76,39,1007,24422,221152,393287,true,1.0,1.0,8.167937384,4.073769705,0.293930466,2.099351002,1.680025723,1.29377704,2.506460173,0.293930466,4.073769705,2.099351002,1.680025723,1.29377704,2.506460173,0.293930466,4.073769705,2.099351002,1.680025723,1.29377704,2.506460173,301,678,1292,678,732,810,301,678,1292,678,732,810,301,678,1292,678,732,810
BATCH-E-batch-2,BATCH-E,2,12,60,734,76,39,1007,81542,735232,1307720,false,1.0,1.0,22.371721422,10.002503238,0.644827901,3.841590308,5.515537803,4.865626984,6.858763299,0.644827901,10.002503238,3.841590308,5.515537803,4.865626984,6.858763299,0.644827901,10.002503238,3.841590308,5.515537803,4.865626984,6.858763299,239,1711,1668,1711,1811,4068,239,1711,1668,1711,1811,4068,239,1711,1668,1711,1811,4068
BATCH-A-inc-2,BATCH-A,2,20,300,27498,376,154,28756,19224,184282,254810,true,1.0,1.0,77.94864321600001,18.165385107,0.887705883,15.917521911,1.35973458,50.011024276,8.88452795,0.887705883,18.165385107,15.917521911,1.35973458,50.011024276,8.88452795,0.887705883,18.165385107,15.917521911,1.35973458,50.011024276,8.88452795,400,1121,1857,1121,1172,970,400,1121,1857,1121,1172,970,400,1121,1857,1121,1172,970
INC-F-inc-2,INC-F,2,20,300,27498,376,154,28756,11560,109673,151968,true,1.0,1.0,58.113261303499996,12.145077544500001,0.5023645635,10.965389264,0.662548963,19.286555111,26.179264084499998,0.905527807,12.59583171,11.07472137,0.833829742,31.472603867,33.36075602,0.09920132,11.694323379,10.856057158,0.491268184,7.100506355,18.997772149,1024,1129,811,1129,1172,1591,1643,1169,904,1169,1211,1632,405,1089,719,1089,1133,1550
BATCH-A-batch-3,BATCH-A,3,18,90,1098,76,54,1464,836,9555,13816,true,1.0,1.0,2.322717357,1.397030801,0.130223595,1.174750628,0.091646296,0.278266821,0.51719614,0.130223595,1.397030801,1.174750628,0.091646296,0.278266821,0.51719614,0.130223595,1.397030801,1.174750628,0.091646296,0.278266821,0.51719614,230,440,400,440,480,556,230,440,400,440,480,556,230,440,400,440,480,556
BATCH-B-batch-3,BATCH-B,3,18,90,1098,76,54,1464,836,9555,15482,true,1.0,1.0,2.6815321180000002,1.721571739,0.133893588,1.500123212,0.087184267,0.294155845,0.531910946,0.133893588,1.721571739,1.500123212,0.087184267,0.294155845,0.531910946,0.133893588,1.721571739,1.500123212,0.087184267,0.294155845,0.531910946,230,253,213,253,289,368,230,253,213,253,289,368,230,253,213,253,289,368
BATCH-C-batch-3,BATCH-C,3,18,90,1098,76,54,1464,1173,12588,21370,true,1.0,1.0,2.9007889760000003,1.913922712,0.123922098,1.681937898,0.107669983,0.289246931,0.573697235,0.123922098,1.913922712,1.681937898,0.107669983,0.289246931,0.573697235,0.123922098,1.913922712,1.681937898,0.107669983,0.289246931,0.573697235,227,493,445,493,532,620,227,493,445,493,532,620,227,493,445,493,532,620
BATCH-D-batch-3,BATCH-D,3,18,90,1098,76,54,1464,52473,474288,843340,true,1.0,1.0,17.720762176,7.528278921,0.637907199,3.220830875,3.669000031,2.622088554,6.932487502,0.637907199,7.528278921,3.220830875,3.669000031,2.622088554,6.932487502,0.637907199,7.528278921,3.220830875,3.669000031,2.622088554,6.932487502,268,1561,2753,1561,1638,1905,268,1561,2753,1561,1638,1905,268,1561,2753,1561,1638,1905
BATCH-E-batch-3,BATCH-E,3,18,90,1098,76,54,1464,197193,1776768,3159657,true,1.0,1.0,64.40261629,26.270963475,1.545169352,11.024303224,13.700976894,10.570278979,26.016204484,1.545169352,26.270963475,11.024303224,13.700976894,10.570278979,26.016204484,1.545169352,26.270963475,11.024303224,13.700976894,10.570278979,26.016204484,786,4694,3974,4694,4873,6673,786,4694,3974,4694,4873,6673,786,4694,3974,4694,4873,6673
BATCH-A-inc-3,BATCH-A,3,30,450,41296,376,227,43002,29968,286611,395816,true,1.0,1.0,105.49876737,21.800960544,1.362717566,18.321650459,2.116067311,59.741069524,22.594019736,1.362717566,21.800960544,18.321650459,2.116067311,59.741069524,22.594019736,1.362717566,21.800960544,18.321650459,2.116067311,59.741069524,22.594019736,598,1307,1371,1307,1366,1640,598,1307,1371,1307,1366,1640,598,1307,1371,1307,1366,1640
INC-F-inc-3,INC-F,3,30,450,41296,376,227,43002,12916,121877,169083,true,1.0,1.0,54.92584205466666,16.314647803333333,0.4398652566666666,15.220080775,0.6486958453333332,14.548732308666667,23.622596685999998,1.171951764,17.181236371,15.4381726,0.877611724,28.770579243,32.18781143,0.050900131,15.651809198,15.090842816,0.509819743,7.050811984,17.601242359,1085,1434,1097,1434,1477,1505,1701,1653,1236,1653,1701,1820,532,1229,918,1229,1271,1010
BATCH-A-batch-4,BATCH-A,4,24,120,1455,76,66,1909,1334,14714,21053,true,1.0,1.0,3.7837324239999997,2.380423304,0.157260774,2.098898181,0.123909668,0.368842714,0.877205632,0.157260774,2.380423304,2.098898181,0.123909668,0.368842714,0.877205632,0.157260774,2.380423304,2.098898181,0.123909668,0.368842714,0.877205632,241,207,154,207,251,380,241,207,154,207,251,380,241,207,154,207,251,380
BATCH-B-batch-4,BATCH-B,4,24,120,1455,76,66,1909,1334,14714,23713,true,1.0,1.0,4.484276912,2.399852928,0.144184448,2.128522222,0.126764987,1.086983877,0.853255659,0.144184448,2.399852928,2.128522222,0.126764987,1.086983877,0.853255659,0.144184448,2.399852928,2.128522222,0.126764987,1.086983877,0.853255659,244,207,152,207,252,381,244,207,152,207,252,381,244,207,152,207,252,381
BATCH-C-batch-4,BATCH-C,4,24,120,1455,76,66,1909,1840,19268,32633,true,1.0,1.0,4.194246273999999,2.645399774,0.14135889,2.342699834,0.16099297,0.404658597,1.002829013,0.14135889,2.645399774,2.342699834,0.16099297,0.404658597,1.002829013,0.14135889,2.645399774,2.342699834,0.16099297,0.404658597,1.002829013,237,268,199,268,307,478,237,268,199,268,307,478,237,268,199,268,307,478
