instance_id,pipeline_max-pc-4-threads,hard_only_max-pc-4-threads,optional_patients_max-pc-4-threads,optional_delay_max-pc-4-threads,optional_open_ot_max-pc-4-threads
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,0,1,1
9,1,1,1,1,1
10,1,1,1,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,1,1,1
14,1,1,1,1,1
15,1,1,0,1,1
16,0,1,0,1,0
17,1,1,0,1,1
18,1,1,0,1,1
19,0,1,0,1,0
20,1,1,0,1,1
21,1,1,0,1,1
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,1,1,0,1,1
26,0,0,0,0,0
27,0,0,0,0,0
28,0,1,0,1,0
29,1,1,0,1,1
30,0,0,0,0,0
